"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","timepoint","celltype","sample","info"
"AKT_UP.V1_DN",0.42093023255814,0.629098811619718,0.060640400949416,0.539981407150787,1.04849654302553,182,"SLCO3A1;PDE4B;EIF4E3;PLA2G4A;FUT8;LIMD1;IL13RA1;SASH1;RPAP3;RMND1;KCTD12;POLI;TEC;DRAM1;MERTK;ZDHHC6;TYW1;SMARCD3;RECK;SATB1;ZC3H12C;HPS1;ZNF385A;ZNF213;FAS;FUT10;IFFO1;ADHFE1;AMPD2;MRPS6;ASF1A;DNAJA3;NT5DC3;CHN2;GRAMD1A;PDIA5;BLVRB;OGN;PUS7;S1PR3;ESR2;KCNN4;NID1;TCF3;RXRB;C1S","Immediately Post-flight","PBMC","PBMC","C6"
"AKT_UP.V1_UP",0.209658421672556,0.444183313748531,0.0982123351217438,0.603115509403857,1.15570686757034,158,"HCK;ADAM10;PLSCR1;PTPRJ;MICU1;GPD2;CD55;KCNQ1;PAK1;CLMN;PLAGL1;SPECC1;SLC6A6;PREP;PYGL;GCH1;PDK3;SEPTIN9;ANGPTL1;PDK1;GAK;SGPL1;ACOT9;P2RX5;CCNG2;BID;RIMKLB;ABCA7;INSIG2;ERO1A;TFRC;MAN2B2;SOCS6;SGSM3;ARG1;TMCC3;LDLR;SYT17;SH3BGRL2;TOM1L1;CARD19;PPP1R3F;KCNE3;MYO5B;PON2","Immediately Post-flight","PBMC","PBMC","C6"
"AKT_UP_MTOR_DN.V1_DN",0.0156606399799844,0.0893962342547342,0.352487857583619,0.669769359485874,1.29470936422032,179,"VCAN;DPYD;RTN1;SLCO3A1;ITGA6;SPATA5;TYMP;EIF4E3;ITSN1;FEZ2;PLA2G4A;LIMD1;CAMKK2;IL13RA1;AP2B1;SASH1;GNG11;KCTD12;POLI;IL7;TEC;MERTK;TYW1;UTP20;STAB1;SMARCD3;SATB1;FAS;MTHFD1;RETREG3;ADHFE1;PRKRIP1;CD200;MYO1G;AMPD2;MRPS6;ASF1A;AGPAT5;DNAJA3;CHN2;PDIA5;BLVRB;POLM;BDH1;OGN;PUS7;LRRC1;S1PR3;ESR2;RGS19;KCNN4;NID1","Immediately Post-flight","PBMC","PBMC","C6"
"AKT_UP_MTOR_DN.V1_UP",0.394366197183099,0.628089484851714,0.0642140881844605,0.547519088319608,1.05556043631102,171,"HCK;ADAM10;PLSCR1;PTPRJ;MICU1;NIN;GPD2;CD55;KCNQ1;S100A8;PAK1;CLMN;PLAGL1;SLC44A1;SLC6A6;PYGL;GCH1;KLF10;RAB3IP;UBE2R2;PDK3;ILRUN;ANGPTL1;GAK;DAGLB;MSR1;TRAF3;SGPL1;RNF19B;ARRDC4;ELL;RIMKLB;ABCA7;GGA1;MVP;MAN2B2;SOCS6;ARG1;TMCC3;SYT17;ZNF746;SH3BGRL2;KCTD9;RNF41;CARD19;PPP1R3F;MYO5B;NFKB2;PON2","Immediately Post-flight","PBMC","PBMC","C6"
"ALK_DN.V1_DN",0.130012150668287,0.332058060490624,0.132147260608774,0.642169048251971,1.20135369101065,126,"HDAC9;LDLRAD4;PTK2B;TIAM1;SLA;FGL2;UTY;VAV1;DOK3;MTHFR;VAV2;MX1;ZFYVE26;IFI44L;INPP5D;UNC93B1;NRDE2;LILRA6;OAS1;SERPINI2","Immediately Post-flight","PBMC","PBMC","C6"
"ALK_DN.V1_UP",0.197097944377267,0.438253076321218,0.103576326612592,0.625587335133137,1.17073918440679,119,"KYNU;TFEC;AQP9;ADAM28;MINDY3;HLA-DMB;TREM1;VNN2;ANGPT2;PIK3CG;FLVCR2;ARHGAP4;NOD2;BST1;CCR7;PYGB;CSTA;RBM17;STEAP4;PRDM1;B3GALT4;CATSPERG;SLAMF7;EREG;GNA15;CA2;SCN9A;CXCR5;CARD9;CXCL5;CEBPG;PCK2;CA3","Immediately Post-flight","PBMC","PBMC","C6"
"ATF2_S_UP.V1_DN",0.00176263783518088,0.0277615459040989,0.45505986738723,0.715635713437286,1.38120273681362,176,"NEAT1;PID1;DAPK1;CELF2;ITPR1;CLMN;DGKD;CSGALNACT1;CD302;TPD52;IL1RAP;A2M;COBLL1;SIK2;DPP4;ST3GAL6;GCH1;DENND4C;KCNAB2;ADARB1;TREM1;RGS2;PDE4DIP;IL4R;TLE3;KCTD12;PTER;VAV2;CYP1B1;SLC7A7;CEMIP;C1RL;MYO1D;KLHL28;CSTA;ACACA;ABCC3;OSGEPL1;IQCG;PLN;ERO1A;PTGS2;RARRES1;KLHL3;PTGER2;OSMR;GMEB1","Immediately Post-flight","PBMC","PBMC","C6"
"ATF2_S_UP.V1_UP",0.955399061032864,0.976056338028169,0.0218679438176212,0.372955603610929,0.719339239835817,175,"ZNF804A;S100A9;DYSF;ITGA6;ABCD2;APAF1;INSL6;CACNA2D3;UPP1;TMEM156;STEAP1B;NIPAL3;TRPM2;ETS2;USP9Y;CHML;PRKCD;TBC1D19;PCNT;PSTPIP1;CUBN;NFE2L3;RASGRP1;MBOAT7;ADAMTSL4;NQO2;PML;PPM1H;SLC25A51;ARHGAP22;MON1B;RSAD2;SSPN","Immediately Post-flight","PBMC","PBMC","C6"
"ATF2_UP.V1_DN",0.000164208391770767,0.00775884651116873,0.518848077743792,0.740985930540045,1.427765155092,172,"NEAT1;PID1;FRY;ARHGEF3;PELI2;AFF1;CELF2;DGKD;CSGALNACT1;CD302;TPD52;RAB11FIP1;IL1RAP;HS2ST1;REV3L;ACVR2A;PIGN;ADA2;PLA2G4A;ATP8B4;DENND2D;CDK5RAP2;GASK1B;GCH1;DENND4C;GOLGA8A;UBXN2B;TREM1;PDE4DIP;HMG20A;ERAP2;POGZ;KCTD12;SP1;PTER;CYP1B1;RBL2;CEMIP;C1RL;MYO1D;ZNF652;SLC25A28;SERPINB9;ACACA;PPP4R2;ABCC3;CYBRD1;IQCG;CCP110;PLN;GSR;CD200;HEXIM1;ERO1A;PTGS2","Immediately Post-flight","PBMC","PBMC","C6"
"ATM_DN.V1_DN",0.0715151515151515,0.245752066115703,0.183023938384487,0.668126804736694,1.25157044183162,128,"CYBB;FCN1;SPTLC2;TFEC;FER;ST3GAL1;MIA2;ZFP36L1;STK17B;WASL;RDX;KCNE1;CD14;XIAP;AZI2;GPSM2;BMPR2;FMO5;AP4S1;STX2;GTF2A1;GMIP;PPIL2;HS3ST3B1;CLEC4E;TXNRD2","Immediately Post-flight","PBMC","PBMC","C6"
